"Codice";"Titolo";"Classificazione"
"28.1";"Fabbricazione di macchine di impiego generale";"Gruppo"
"28.11";"Fabbricazione di motori e turbine, esclusi i motori per aeromobili, veicoli e motocicli";"Classe"
"28.11.1";"Fabbricazione di motori, esclusi motori per aeromobili, veicoli e motocicli";"Categoria"
"28.11.10";"Fabbricazione di motori, esclusi motori per aeromobili, veicoli e motocicli";"Sottocategoria"
"28.11.2";"Fabbricazione di turbine";"Categoria"
"28.11.20";"Fabbricazione di turbine";"Sottocategoria"
"28.12";"Fabbricazione di apparecchiature fluidodinamiche";"Classe"
"28.12.0";"Fabbricazione di apparecchiature fluidodinamiche";"Categoria"
"28.12.00";"Fabbricazione di apparecchiature fluidodinamiche";"Sottocategoria"
"28.13";"Fabbricazione di altre pompe e compressori";"Classe"
"28.13.0";"Fabbricazione di altre pompe e compressori";"Categoria"
"28.13.00";"Fabbricazione di altre pompe e compressori";"Sottocategoria"
"28.14";"Fabbricazione di altri rubinetti e valvole";"Classe"
"28.14.0";"Fabbricazione di altri rubinetti e valvole";"Categoria"
"28.14.00";"Fabbricazione di altri rubinetti e valvole";"Sottocategoria"
"28.15";"Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione";"Classe"
"28.15.0";"Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione";"Categoria"
"28.15.00";"Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione";"Sottocategoria"
"28.2";"Fabbricazione di altre macchine di impiego generale";"Gruppo"
"28.21";"Fabbricazione di forni, caldaie e apparecchiature fisse per il riscaldamento domestico";"Classe"
"28.21.1";"Fabbricazione di forni";"Categoria"
"28.21.10";"Fabbricazione di forni";"Sottocategoria"
"28.21.2";"Fabbricazione di caldaie e apparecchiature fisse per il riscaldamento domestico";"Categoria"
"28.21.20";"Fabbricazione di caldaie e apparecchiature fisse per il riscaldamento domestico";"Sottocategoria"
"28.22";"Fabbricazione di apparecchi di sollevamento e movimentazione";"Classe"
"28.22.0";"Fabbricazione di apparecchi di sollevamento e movimentazione";"Categoria"
"28.22.01";"Fabbricazione di ascensori, scale mobili e tappeti mobili";"Sottocategoria"
"28.22.09";"Fabbricazione di altri apparecchi di sollevamento e movimentazione";"Sottocategoria"
"28.23";"Fabbricazione di macchine e attrezzature per ufficio, esclusi computer e unità periferiche";"Classe"
"28.23.0";"Fabbricazione di macchine e attrezzature per ufficio, esclusi computer e unità periferiche";"Categoria"
"28.23.00";"Fabbricazione di macchine e attrezzature per ufficio, esclusi computer e unità periferiche";"Sottocategoria"
"28.24";"Fabbricazione di utensili portatili a motore";"Classe"
"28.24.0";"Fabbricazione di utensili portatili a motore";"Categoria"
"28.24.00";"Fabbricazione di utensili portatili a motore";"Sottocategoria"
"28.25";"Fabbricazione di apparecchiature di climatizzazione per uso non domestico";"Classe"
"28.25.0";"Fabbricazione di apparecchiature di climatizzazione per uso non domestico";"Categoria"
"28.25.00";"Fabbricazione di apparecchiature di climatizzazione per uso non domestico";"Sottocategoria"
"28.29";"Fabbricazione di altre macchine di impiego generale n.c.a.";"Classe"
"28.29.1";"Fabbricazione di bilance e distributori automatici";"Categoria"
"28.29.10";"Fabbricazione di bilance e distributori automatici";"Sottocategoria"
"28.29.2";"Fabbricazione di impianti di distillazione o rettificazione per raffinerie di petrolio e industrie chimiche";"Categoria"
"28.29.20";"Fabbricazione di impianti di distillazione o rettificazione per raffinerie di petrolio e industrie chimiche";"Sottocategoria"
"28.29.3";"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio";"Categoria"
"28.29.30";"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio";"Sottocategoria"
"28.29.4";"Fabbricazione di macchine per la pulizia per uso non domestico";"Categoria"
"28.29.41";"Fabbricazione di macchine per la pulizia di pavimenti, superfici e ambienti per uso non domestico";"Sottocategoria"
"28.29.49";"Fabbricazione di altre macchine per la pulizia per uso non domestico";"Sottocategoria"
"28.29.9";"Fabbricazione di altre macchine varie di impiego generale";"Categoria"
"28.29.91";"Fabbricazione di apparecchi per depurare e filtrare liquidi";"Sottocategoria"
"28.29.92";"Fabbricazione di livelle, metri doppi a nastro e utensili simili, strumenti di precisione per meccanica";"Sottocategoria"
"28.29.99";"Fabbricazione di altre macchine varie di impiego generale n.c.a.";"Sottocategoria"
"28.3";"Fabbricazione di macchine per l'agricoltura e la silvicoltura";"Gruppo"
"28.30";"Fabbricazione di macchine per l'agricoltura e la silvicoltura";"Classe"
"28.30.1";"Fabbricazione di trattori per l'agricoltura e la silvicoltura";"Categoria"
"28.30.10";"Fabbricazione di trattori per l'agricoltura e la silvicoltura";"Sottocategoria"
"28.30.9";"Fabbricazione di altre macchine per l'agricoltura e la silvicoltura";"Categoria"
"28.30.91";"Fabbricazione di macchine per il giardinaggio e la cura del verde";"Sottocategoria"
"28.30.99";"Fabbricazione di altre macchine per l'agricoltura e la silvicoltura n.c.a.";"Sottocategoria"
"28.4";"Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili";"Gruppo"
"28.41";"Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili per la lavorazione dei metalli";"Classe"
"28.41.0";"Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili per la lavorazione dei metalli";"Categoria"
"28.41.00";"Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili per la lavorazione dei metalli";"Sottocategoria"
"28.42";"Fabbricazione di altre macchine utensili";"Classe"
"28.42.0";"Fabbricazione di altre macchine utensili";"Categoria"
"28.42.00";"Fabbricazione di altre macchine utensili";"Sottocategoria"
"28.9";"Fabbricazione di altre macchine per impieghi speciali";"Gruppo"
"28.91";"Fabbricazione di macchine per la metallurgia";"Classe"
"28.91.0";"Fabbricazione di macchine per la metallurgia";"Categoria"
"28.91.00";"Fabbricazione di macchine per la metallurgia";"Sottocategoria"
"28.92";"Fabbricazione di macchine da miniera, cava e cantiere";"Classe"
"28.92.0";"Fabbricazione di macchine da miniera, cava e cantiere";"Categoria"
"28.92.00";"Fabbricazione di macchine da miniera, cava e cantiere";"Sottocategoria"
"28.93";"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco";"Classe"
"28.93.0";"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco";"Categoria"
"28.93.00";"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco";"Sottocategoria"
"28.94";"Fabbricazione di macchine per l'industria tessile, dell'abbigliamento e del cuoio";"Classe"
"28.94.1";"Fabbricazione di macchine tessili";"Categoria"
"28.94.10";"Fabbricazione di macchine tessili";"Sottocategoria"
"28.94.2";"Fabbricazione di macchine per la lavorazione delle pelli e del cuoio";"Categoria"
"28.94.20";"Fabbricazione di macchine per la lavorazione delle pelli e del cuoio";"Sottocategoria"
"28.94.3";"Fabbricazione di macchine per lavanderie e stirerie";"Categoria"
"28.94.30";"Fabbricazione di macchine per lavanderie e stirerie";"Sottocategoria"
"28.95";"Fabbricazione di macchine per l'industria della carta e del cartone";"Classe"
"28.95.0";"Fabbricazione di macchine per l'industria della carta e del cartone";"Categoria"
"28.95.00";"Fabbricazione di macchine per l'industria della carta e del cartone";"Sottocategoria"
"28.96";"Fabbricazione di macchine per l'industria delle materie plastiche e della gomma";"Classe"
"28.96.0";"Fabbricazione di macchine per l'industria delle materie plastiche e della gomma";"Categoria"
"28.96.00";"Fabbricazione di macchine per l'industria delle materie plastiche e della gomma";"Sottocategoria"
"28.97";"Fabbricazione di macchine per la produzione additiva";"Classe"
"28.97.0";"Fabbricazione di macchine per la produzione additiva";"Categoria"
"28.97.01";"Fabbricazione di macchine per la produzione additiva per deposizione di materiali metallici";"Sottocategoria"
"28.97.02";"Fabbricazione di macchine per la produzione additiva per deposizione di materie plastiche o di gomma";"Sottocategoria"
"28.97.09";"Fabbricazione di macchine per la produzione additiva n.c.a.";"Sottocategoria"
"28.99";"Fabbricazione di altre macchine per impieghi speciali n.c.a.";"Classe"
"28.99.1";"Fabbricazione di macchine per la stampa e la legatoria";"Categoria"
"28.99.10";"Fabbricazione di macchine per la stampa e la legatoria";"Sottocategoria"
"28.99.2";"Fabbricazione di robot industriali con compiti multipli per scopi speciali";"Categoria"
"28.99.20";"Fabbricazione di robot industriali con compiti multipli per scopi speciali";"Sottocategoria"
"28.99.9";"Fabbricazione di altre macchine varie per impieghi speciali n.c.a.";"Categoria"
"28.99.91";"Fabbricazione di apparecchiature per il lancio di aeromobili, catapulte per portaerei e relative attrezzature";"Sottocategoria"
"28.99.92";"Fabbricazione di giostre, altalene e altre attrazioni di divertimento";"Sottocategoria"
"28.99.93";"Fabbricazione di apparecchiature per l'allineamento e il bilanciamento delle ruote e altre apparecchiature per il bilanciamento";"Sottocategoria"
"28.99.99";"Fabbricazione di tutte le altre macchine varie per impieghi speciali n.c.a.";"Sottocategoria"
"29";"Fabbricazione di autoveicoli, rimorchi e semirimorchi";"Divisione"
"29.1";"Fabbricazione di autoveicoli";"Gruppo"
"29.10";"Fabbricazione di autoveicoli";"Classe"
"29.10.0";"Fabbricazione di autoveicoli";"Categoria"
"29.10.00";"Fabbricazione di autoveicoli";"Sottocategoria"
"29.2";"Fabbricazione di carrozzerie per autoveicoli; fabbricazione di rimorchi e semirimorchi";"Gruppo"
"29.20";"Fabbricazione di carrozzerie per autoveicoli; fabbricazione di rimorchi e semirimorchi";"Classe"
"29.20.0";"Fabbricazione di carrozzerie per autoveicoli; fabbricazione di rimorchi e semirimorchi";"Categoria"
"29.20.00";"Fabbricazione di carrozzerie per autoveicoli; fabbricazione di rimorchi e semirimorchi";"Sottocategoria"
"29.3";"Fabbricazione di parti e accessori per autoveicoli";"Gruppo"
"29.31";"Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli";"Classe"
"29.31.0";"Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli";"Categoria"
"29.31.00";"Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli";"Sottocategoria"
"29.32";"Fabbricazione di altre parti e accessori per autoveicoli";"Classe"
"29.32.0";"Fabbricazione di altre parti e accessori per autoveicoli";"Categoria"
"29.32.00";"Fabbricazione di altre parti e accessori per autoveicoli";"Sottocategoria"
"30";"Fabbricazione di altri mezzi di trasporto";"Divisione"
"30.1";"Costruzione di navi e imbarcazioni";"Gruppo"
"30.11";"Costruzione di navi e di strutture galleggianti per scopi civili";"Classe"
"30.11.0";"Costruzione di navi e di strutture galleggianti per scopi civili";"Categoria"
"30.11.00";"Costruzione di navi e di strutture galleggianti per scopi civili";"Sottocategoria"
"30.12";"Costruzione di imbarcazioni da diporto e sportive";"Classe"
"30.12.0";"Costruzione di imbarcazioni da diporto e sportive";"Categoria"
"30.12.00";"Costruzione di imbarcazioni da diporto e sportive";"Sottocategoria"
"30.13";"Costruzione di navi e imbarcazioni per scopi militari";"Classe"
"30.13.0";"Costruzione di navi e imbarcazioni per scopi militari";"Categoria"
"30.13.00";"Costruzione di navi e imbarcazioni per scopi militari";"Sottocategoria"
"30.2";"Costruzione di locomotive e di materiale rotabile ferro-tranviario";"Gruppo"
"30.20";"Costruzione di locomotive e di materiale rotabile ferro-tranviario";"Classe"
"30.20.0";"Costruzione di locomotive e di materiale rotabile ferro-tranviario";"Categoria"
"30.20.00";"Costruzione di locomotive e di materiale rotabile ferro-tranviario";"Sottocategoria"
"30.3";"Fabbricazione di aeromobili, veicoli spaziali e relativi equipaggiamenti";"Gruppo"
"30.31";"Fabbricazione di aeromobili, veicoli spaziali e relativi equipaggiamenti per scopi civili";"Classe"
"30.31.0";"Fabbricazione di aeromobili, veicoli spaziali e relativi equipaggiamenti per scopi civili";"Categoria"
"30.31.00";"Fabbricazione di aeromobili, veicoli spaziali e relativi equipaggiamenti per scopi civili";"Sottocategoria"
"30.32";"Fabbricazione di aeromobili, veicoli spaziali e relativi equipaggiamenti per scopi militari";"Classe"
"30.32.0";"Fabbricazione di aeromobili, veicoli spaziali e relativi equipaggiamenti per scopi militari";"Categoria"
"30.32.00";"Fabbricazione di aeromobili, veicoli spaziali e relativi equipaggiamenti per scopi militari";"Sottocategoria"
"30.4";"Fabbricazione di veicoli militari da combattimento";"Gruppo"
"30.40";"Fabbricazione di veicoli militari da combattimento";"Classe"
"30.40.0";"Fabbricazione di veicoli militari da combattimento";"Categoria"
"30.40.00";"Fabbricazione di veicoli militari da combattimento";"Sottocategoria"
"30.9";"Fabbricazione di mezzi di trasporto n.c.a.";"Gruppo"
"30.91";"Fabbricazione di motocicli";"Classe"
"30.91.1";"Fabbricazione di motocicli, escluse parti e accessori";"Categoria"
"30.91.11";"Fabbricazione di motori per motocicli";"Sottocategoria"
"30.91.12";"Fabbricazione di motocicli, esclusi motori";"Sottocategoria"
"30.91.2";"Fabbricazione di parti e accessori per motocicli";"Categoria"
"30.91.20";"Fabbricazione di parti e accessori per motocicli";"Sottocategoria"
"30.92";"Fabbricazione di biciclette e veicoli per disabili";"Classe"
"30.92.1";"Fabbricazione di biciclette, escluse parti e accessori";"Categoria"
"30.92.10";"Fabbricazione di biciclette, escluse parti e accessori";"Sottocategoria"
"30.92.2";"Fabbricazione di parti e accessori per biciclette";"Categoria"
"30.92.20";"Fabbricazione di parti e accessori per biciclette";"Sottocategoria"
"30.92.3";"Fabbricazione di veicoli per disabili";"Categoria"
"30.92.30";"Fabbricazione di veicoli per disabili";"Sottocategoria"
"30.92.4";"Fabbricazione di carrozzine e passeggini";"Categoria"
"30.92.40";"Fabbricazione di carrozzine e passeggini";"Sottocategoria"
"30.99";"Fabbricazione di altri mezzi di trasporto n.c.a.";"Classe"
"30.99.0";"Fabbricazione di altri mezzi di trasporto n.c.a.";"Categoria"
"30.99.00";"Fabbricazione di altri mezzi di trasporto n.c.a.";"Sottocategoria"
"31";"Fabbricazione di mobili";"Divisione"
"31.0";"Fabbricazione di mobili";"Gruppo"
"31.00";"Fabbricazione di mobili";"Classe"
"31.00.1";"Fabbricazione di mobili per negozi, uffici e altri spazi per collettività";"Categoria"
"31.00.11";"Fabbricazione di moduli dedicati al comfort acustico per negozi, uffici e altri spazi per collettività";"Sottocategoria"
"31.00.12";"Fabbricazione di sedie e poltrone per negozi";"Sottocategoria"
"31.00.13";"Fabbricazione di altri mobili per negozi";"Sottocategoria"
"31.00.14";"Fabbricazione di sedie e poltrone per uffici e altri spazi per collettività";"Sottocategoria"
"31.00.15";"Fabbricazione di altri mobili per uffici e altri spazi per collettività";"Sottocategoria"
"31.00.2";"Fabbricazione di mobili da cucina";"Categoria"
"31.00.20";"Fabbricazione di mobili da cucina";"Sottocategoria"
"31.00.3";"Fabbricazione di altri mobili per la casa";"Categoria"
"31.00.31";"Fabbricazione di mobili per arredo interno, esclusi mobili da cucina, sedie, divani e prodotti simili";"Sottocategoria"
"31.00.32";"Fabbricazione di mobili per arredo esterno";"Sottocategoria"
"31.00.33";"Fabbricazione di sedie e sedili";"Sottocategoria"
"31.00.34";"Fabbricazione di divani, divani letto e poltrone";"Sottocategoria"
"31.00.35";"Fabbricazione di materassi";"Sottocategoria"
"31.00.36";"Fabbricazione di parti e accessori di mobili";"Sottocategoria"
"31.00.37";"Finitura di mobili";"Sottocategoria"
"31.00.39";"Fabbricazione di altri mobili n.c.a.";"Sottocategoria"
"32";"Altre attività manifatturiere";"Divisione"
"32.1";"Fabbricazione di gioielleria, bigiotteria e articoli connessi";"Gruppo"
"32.11";"Coniazione di monete";"Classe"
"32.11.0";"Coniazione di monete";"Categoria"
"32.11.00";"Coniazione di monete";"Sottocategoria"
"32.12";"Fabbricazione di gioielli e articoli simili";"Classe"
"32.12.1";"Lavorazione di pietre preziose e semipreziose";"Categoria"
"32.12.10";"Lavorazione di pietre preziose e semipreziose";"Sottocategoria"
"32.12.2";"Fabbricazione di gioielli e articoli di oreficeria in metalli preziosi";"Categoria"
"32.12.20";"Fabbricazione di gioielli e articoli di oreficeria in metalli preziosi";"Sottocategoria"
"32.13";"Fabbricazione di bigiotteria e articoli simili";"Classe"
"32.13.0";"Fabbricazione di bigiotteria e articoli simili";"Categoria"
"32.13.00";"Fabbricazione di bigiotteria e articoli simili";"Sottocategoria"
"32.2";"Fabbricazione di strumenti musicali";"Gruppo"
"32.20";"Fabbricazione di strumenti musicali";"Classe"
"32.20.0";"Fabbricazione di strumenti musicali";"Categoria"
"32.20.00";"Fabbricazione di strumenti musicali";"Sottocategoria"
"32.3";"Fabbricazione di articoli sportivi";"Gruppo"
"32.30";"Fabbricazione di articoli sportivi";"Classe"
"32.30.0";"Fabbricazione di articoli sportivi";"Categoria"
"32.30.01";"Fabbricazione di attrezzature da palestra, per centri di fitness e per atletica";"Sottocategoria"
"32.30.09";"Fabbricazione di altri articoli sportivi";"Sottocategoria"
"32.4";"Fabbricazione di giochi e giocattoli";"Gruppo"
"32.40";"Fabbricazione di giochi e giocattoli";"Classe"
"32.40.1";"Fabbricazione di giochi";"Categoria"
"32.40.10";"Fabbricazione di giochi";"Sottocategoria"
"32.40.2";"Fabbricazione di giocattoli";"Categoria"
"32.40.20";"Fabbricazione di giocattoli";"Sottocategoria"
"32.5";"Fabbricazione di strumenti e forniture mediche e dentistiche";"Gruppo"
"32.50";"Fabbricazione di strumenti e forniture mediche e dentistiche";"Classe"
"32.50.1";"Fabbricazione di protesi dentarie";"Categoria"
"32.50.10";"Fabbricazione di protesi dentarie";"Sottocategoria"
"32.50.2";"Fabbricazione di altre protesi e ausili";"Categoria"
"32.50.20";"Fabbricazione di altre protesi e ausili";"Sottocategoria"
"32.50.3";"Fabbricazione di lenti oftalmiche";"Categoria"
"32.50.30";"Fabbricazione di lenti oftalmiche";"Sottocategoria"
"32.50.4";"Fabbricazione di montature per occhiali";"Categoria"
"32.50.40";"Fabbricazione di montature per occhiali";"Sottocategoria"
"32.50.5";"Fabbricazione di altri strumenti e forniture mediche e dentistiche";"Categoria"
"32.50.51";"Fabbricazione di strumenti e apparecchiature mediche e dentistiche";"Sottocategoria"
"32.50.52";"Fabbricazione di forniture mediche e dentistiche";"Sottocategoria"
"32.50.53";"Fabbricazione di mobili per uso medico e dentistico";"Sottocategoria"
"32.9";"Attività manifatturiere n.c.a.";"Gruppo"
"32.91";"Fabbricazione di scope e spazzole";"Classe"
"32.91.0";"Fabbricazione di scope e spazzole";"Categoria"
"32.91.00";"Fabbricazione di scope e spazzole";"Sottocategoria"
"32.99";"Altre attività manifatturiere n.c.a.";"Classe"
"32.99.1";"Fabbricazione di dispositivi protettivi di sicurezza";"Categoria"
"32.99.10";"Fabbricazione di dispositivi protettivi di sicurezza";"Sottocategoria"
"32.99.2";"Fabbricazione di ombrelli, bottoni, chiusure lampo, parrucche e affini";"Categoria"
"32.99.20";"Fabbricazione di ombrelli, bottoni, chiusure lampo, parrucche e affini";"Sottocategoria"
"32.99.3";"Fabbricazione di articoli di cancelleria";"Categoria"
"32.99.30";"Fabbricazione di articoli di cancelleria";"Sottocategoria"
"32.99.4";"Fabbricazione di casse funebri";"Categoria"
"32.99.40";"Fabbricazione di casse funebri";"Sottocategoria"
"32.99.9";"Fabbricazione di altri articoli n.c.a.";"Categoria"
"32.99.91";"Fabbricazione di sigarette elettroniche";"Sottocategoria"
"32.99.99";"Fabbricazione di altri articoli vari n.c.a.";"Sottocategoria"
"33";"Riparazione, manutenzione e installazione di macchine e apparecchiature";"Divisione"
"33.1";"Riparazione e manutenzione di prodotti in metallo, macchine e apparecchiature";"Gruppo"
"33.11";"Riparazione e manutenzione di prodotti in metallo";"Classe"
"33.11.0";"Riparazione e manutenzione di prodotti in metallo";"Categoria"
"33.11.01";"Riparazione e manutenzione di cisterne, serbatoi e contenitori in metallo";"Sottocategoria"
"33.11.02";"Riparazione e manutenzione di utensileria ad azionamento manuale";"Sottocategoria"
"33.11.03";"Riparazione e manutenzione di stampi, portastampi, sagome, forme per macchine";"Sottocategoria"
"33.11.04";"Riparazione e manutenzione di casseforti, cassette di sicurezza, porte metalliche blindate";"Sottocategoria"
"33.11.05";"Riparazione e manutenzione di armi da fuoco militari, di ordinanza e artiglieria";"Sottocategoria"
"33.11.06";"Riparazione e manutenzione di armi per uso sportivo e civile";"Sottocategoria"
"33.11.09";"Riparazione e manutenzione di altri prodotti in metallo";"Sottocategoria"
"33.12";"Riparazione e manutenzione di macchinari";"Classe"
"33.12.1";"Riparazione e manutenzione di motori, turbine, pompe, compressori e altri elementi simili";"Categoria"
"33.12.10";"Riparazione e manutenzione di motori, turbine, pompe, compressori e altri elementi simili";"Sottocategoria"
"33.12.2";"Riparazione e manutenzione di caldaie per processi industriali";"Categoria"
"33.12.20";"Riparazione e manutenzione di caldaie per processi industriali";"Sottocategoria"
"33.12.3";"Riparazione e manutenzione di apparecchi di sollevamento e movimentazione";"Categoria"
"33.12.30";"Riparazione e manutenzione di apparecchi di sollevamento e movimentazione";"Sottocategoria"
"33.12.4";"Riparazione e manutenzione di impianti di refrigerazione industriale e di depurazione dell'aria";"Categoria"
"33.12.40";"Riparazione e manutenzione di impianti di refrigerazione industriale e di depurazione dell'aria";"Sottocategoria"
"33.12.5";"Riparazione e manutenzione di altre macchine di impiego generale";"Categoria"
"33.12.51";"Riparazione e manutenzione di macchine e attrezzature per ufficio";"Sottocategoria"
"33.12.52";"Riparazione e manutenzione di bilance e distributori automatici";"Sottocategoria"
"33.12.53";"Riparazione e manutenzione di impianti di distillazione o rettificazione per raffinerie di petrolio e industrie chimiche";"Sottocategoria"
"33.12.54";"Riparazione e manutenzione di macchine per impacchettare e imballare";"Sottocategoria"
"33.12.59";"Riparazione e manutenzione di altre macchine di impiego generale n.c.a.";"Sottocategoria"
"33.12.6";"Riparazione e manutenzione di trattori agricoli";"Categoria"
"33.12.60";"Riparazione e manutenzione di trattori agricoli";"Sottocategoria"
"33.12.7";"Riparazione e manutenzione di altre macchine per l'agricoltura e la silvicoltura";"Categoria"
"33.12.70";"Riparazione e manutenzione di altre macchine per l'agricoltura e la silvicoltura";"Sottocategoria"
"33.12.9";"Riparazione e manutenzione di altre macchine per impieghi speciali";"Categoria"
"33.12.91";"Affilatura di lame e seghe per macchinari";"Sottocategoria"
"33.12.92";"Riparazione e manutenzione di giostre, altalene e altre attrazioni di divertimento";"Sottocategoria"
"33.12.99";"Riparazione e manutenzione di altre macchine per impieghi speciali n.c.a.";"Sottocategoria"
"33.13";"Riparazione e manutenzione di apparecchiature elettroniche e ottiche";"Classe"
"33.13.0";"Riparazione e manutenzione di apparecchiature elettroniche e ottiche";"Categoria"
"33.13.01";"Riparazione e manutenzione di apparecchiature per irradiazione, elettromedicali ed elettroterapeutiche";"Sottocategoria"
"33.13.02";"Riparazione e manutenzione di strumenti e apparecchiature ottiche";"Sottocategoria"
"33.13.09";"Riparazione e manutenzione di altre apparecchiature elettroniche e ottiche";"Sottocategoria"
"33.14";"Riparazione e manutenzione di apparecchiature elettriche";"Classe"
"33.14.0";"Riparazione e manutenzione di apparecchiature elettriche";"Categoria"
"33.14.00";"Riparazione e manutenzione di apparecchiature elettriche";"Sottocategoria"
"33.15";"Riparazione e manutenzione di navi e imbarcazioni per scopi civili";"Classe"
"33.15.0";"Riparazione e manutenzione di navi e imbarcazioni per scopi civili";"Categoria"
"33.15.00";"Riparazione e manutenzione di navi e imbarcazioni per scopi civili";"Sottocategoria"
"33.16";"Riparazione e manutenzione di aeromobili e veicoli spaziali per scopi civili";"Classe"
"33.16.0";"Riparazione e manutenzione di aeromobili e veicoli spaziali per scopi civili";"Categoria"
"33.16.00";"Riparazione e manutenzione di aeromobili e veicoli spaziali per scopi civili";"Sottocategoria"
"33.17";"Riparazione e manutenzione di altri mezzi di trasporto per scopi civili";"Classe"
"33.17.0";"Riparazione e manutenzione di altri mezzi di trasporto per scopi civili";"Categoria"
"33.17.00";"Riparazione e manutenzione di altri mezzi di trasporto per scopi civili";"Sottocategoria"
"33.18";"Riparazione e manutenzione di veicoli da combattimento, navi, imbarcazioni, aeromobili e veicoli spaziali per scopi militari";"Classe"
"33.18.1";"Riparazione e manutenzione di veicoli da combattimento per scopi militari";"Categoria"
"33.18.10";"Riparazione e manutenzione di veicoli da combattimento per scopi militari";"Sottocategoria"
"33.18.2";"Riparazione e manutenzione di navi e imbarcazioni per scopi militari";"Categoria"
"33.18.20";"Riparazione e manutenzione di navi e imbarcazioni per scopi militari";"Sottocategoria"
"33.18.3";"Riparazione e manutenzione di aeromobili e veicoli spaziali per scopi militari";"Categoria"
"33.18.30";"Riparazione e manutenzione di aeromobili e veicoli spaziali per scopi militari";"Sottocategoria"
"33.19";"Riparazione e manutenzione di altre apparecchiature";"Classe"
"33.19.0";"Riparazione e manutenzione di altre apparecchiature";"Categoria"
"33.19.00";"Riparazione e manutenzione di altre apparecchiature";"Sottocategoria"
"33.2";"Installazione di macchine e apparecchiature industriali";"Gruppo"
"33.20";"Installazione di macchine e apparecchiature industriali";"Classe"
"33.20.0";"Installazione di macchine e apparecchiature industriali";"Categoria"
"33.20.01";"Installazione di motori, generatori e trasformatori elettrici e di apparecchiature per la distribuzione e il controllo della elettricità";"Sottocategoria"
"33.20.02";"Installazione di apparecchiature per le comunicazioni e di apparecchiature radiotelevisive";"Sottocategoria"
"33.20.03";"Installazione di strumenti e apparecchi di misurazione e controllo";"Sottocategoria"
"33.20.04";"Installazione di cisterne, serbatoi e contenitori in metallo";"Sottocategoria"
"33.20.05";"Installazione di generatori di vapore";"Sottocategoria"
"33.20.06";"Installazione di macchinari e attrezzature per ufficio";"Sottocategoria"
"33.20.07";"Installazione di strumenti e apparecchiature mediche e dentistiche";"Sottocategoria"
"33.20.09";"Installazione di altre macchine e apparecchiature industriali";"Sottocategoria"
"D";"FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA";"Sezione"
"35";"Fornitura di energia elettrica, gas, vapore e aria condizionata";"Divisione"
"35.1";"Produzione, trasmissione e distribuzione di energia elettrica";"Gruppo"
"35.11";"Produzione di energia elettrica da fonti non rinnovabili";"Classe"
"35.11.0";"Produzione di energia elettrica da fonti non rinnovabili";"Categoria"
"35.11.00";"Produzione di energia elettrica da fonti non rinnovabili";"Sottocategoria"
"35.12";"Produzione di energia elettrica da fonti rinnovabili";"Classe"
"35.12.0";"Produzione di energia elettrica da fonti rinnovabili";"Categoria"
"35.12.00";"Produzione di energia elettrica da fonti rinnovabili";"Sottocategoria"
"35.13";"Trasmissione di energia elettrica";"Classe"
"35.13.0";"Trasmissione di energia elettrica";"Categoria"
"35.13.00";"Trasmissione di energia elettrica";"Sottocategoria"
"35.14";"Distribuzione di energia elettrica";"Classe"
"35.14.0";"Distribuzione di energia elettrica";"Categoria"
"35.14.00";"Distribuzione di energia elettrica";"Sottocategoria"
"35.15";"Commercio di energia elettrica";"Classe"
"35.15.0";"Commercio di energia elettrica";"Categoria"
"35.15.00";"Commercio di energia elettrica";"Sottocategoria"
"35.16";"Stoccaggio di energia elettrica";"Classe"
"35.16.0";"Stoccaggio di energia elettrica";"Categoria"
"35.16.00";"Stoccaggio di energia elettrica";"Sottocategoria"
"35.2";"Produzione di gas e distribuzione di combustibili gassosi mediante condotte";"Gruppo"
"35.21";"Produzione di gas";"Classe"
"35.21.0";"Produzione di gas";"Categoria"
"35.21.00";"Produzione di gas";"Sottocategoria"
"35.22";"Distribuzione di combustibili gassosi mediante condotte";"Classe"
"35.22.0";"Distribuzione di combustibili gassosi mediante condotte";"Categoria"
"35.22.00";"Distribuzione di combustibili gassosi mediante condotte";"Sottocategoria"
"35.23";"Commercio di gas distribuito mediante condotte";"Classe"
"35.23.0";"Commercio di gas distribuito mediante condotte";"Categoria"
"35.23.00";"Commercio di gas distribuito mediante condotte";"Sottocategoria"
"35.24";"Stoccaggio di gas nell'ambito dei servizi di fornitura della rete";"Classe"
"35.24.0";"Stoccaggio di gas nell'ambito dei servizi di fornitura della rete";"Categoria"
